Catalog Number, Description, 2022, 2021, 2020, 2019
1484134, TB SYR 1CC 25GX5/8IN 100PK  RX, 38.36, 33.7, , 
1484136, 60CC SYR LL 25/PK           RX, 47.39, 40.75, , 
1484148, 10CC 22X1IN LL 100PK        RX, 49.16, 42.89, 41.56, 
1491016, OXIDASE REAGENT DROPPER50PK, 97.99, 97.99, 98.26, 
1491550, BLD COLL EDTA 125UL 50/PK, 87.35, 87.35, 86.29, 
1491559, BLD COLL SERUM GEL 200UL 50/PK, 96.86, 96.86, , 
14930A, TEST TUBE 16X125MM 72/PK, 252.69, 252.69, , 
14933A, TEST TUBE 13X100MM 144/PK, 441.84, 441.84, 428.33, 
14955127, CUVETTE SEMI-MICRO 1.5ML 500CS, 34.3, 31.39, 31.2, 
14955128, CUVETTES DSP SEMI 1.5ML 500/CS, 47.17, 43.17, 42.96, 
14955129, DISPOSABLE CUVETTES 500/CS, 30.22, 27.54, 27.37, 
14955135, FB 2ML ASPIRATING PIPET 200/PK, 25.13, 25.64, , 
14955151, FISHER SCIENTIFIC MINI VORTEX, 176.86, 176.86, 174.9, 
14955163, VARIABLE SPEED MINI VORTEX MIX, 193.06, 193.06, 190.92, 
14955170, MINI ELECTROPHORESIS SYSTEM, 623.52, 619.33, 606.24, 
14955219, MINI DRY BATH HEAT W 15X1.5ML, 353.6, 339.54, , 
14955233, 5 ML SEROLOGICAL PIPET 200/CS, 22.62, 19.75, 17.58, 17.55
14955234, 10 ML SEROLOGICAL PIPET 200/CS, 27.05, 23.6, 21.64, 21.64
14955235, 25 ML SEROLOGICAL PIPET 200/CS, 42.55, 42.56, 41.91, 41.91
14955236, 50 ML SEROLOGICAL PIPET 100/CS, 53.69, 53.64, 52.64, 52.64
14955237, 15ML CENTRIFUGE TUBE RCK 500CS, 51.2, 44.86, , 44.2
14955238, 15 ML CENTRIFUGE TUBE SLEEVE, 47.36, 47.23, 46.19, 46.19
14955239, 50ML CENTRIFUGE TUBE RCK 500CS, 65.13, 58.36, , 57.34
14955240, 50 ML CENTRIFUG TUB SLV 500/CS, 65.13, 56.98, , 55.99
14955300, FISHER MICROPLATE CENTRIFUGE, 682.24, 671.01, 663.57, 
14955310, VIAL CLR W/PLYSEAL 12ML 144/CS, 67.09, , , 
14955340, FB BEAD STERILIZER - 115VF, 539.64, 518.75, 513.0, 
14955459, 3 PART PP SYR 10ML ST LL 100PK, 14.95, 15.69, 15.73, 
14955460, 3 PART PP SYR 20ML ST LL 50PK, 18.83, 19.82, , 
14955461, 3 PART PP SYR 60ML ST LL 50PK, 36.49, 38.39, , 
149561J, FB14MLTBE P\17X100\S\SNP500CS, 76.45, 81.29, 81.51, 
149563D, FB5MLTBE PS\12X75\S\SNP 1000CS, 81.03, 80.51, , 
149566D, FB14MLTBEPS\17X100\S\SNP500CS, 67.18, 66.83, 67.01, 
149569C, FB ST CLTRTB 17X100 W/CP 500CS, 53.71, 54.73, 54.76, 
1495791A, CLOSURE DISP 16MM OD 1000/CS, 98.67, 98.67, 96.5, 
1495791C, CLOSURE DISP 20MM OD 500/CS, 93.85, 93.85, 91.51, 
1495791D, CLOSURE DISP 25MM OD 500/CS, 124.34, 124.34, 121.47, 
149591A, 5MLTBE PS\12X75\STR\SNAP 500CS, 124.17, 116.09568, 119.44, 119.98
149591B, 14MLTBE PS 17X100 ST SNAP500CS, 129.89, 126.17, 129.8, 
1495911A, 5MLTBE PP\12X75\STR\SNAP 500CS, 139.58, 139.58, 143.6, 144.25
1495911B, 14MLTBE PP17X100\ST\SNAP 500CS, 189.9, 189.42, 194.88, 195.76
1495915, CULTURE TUBE 16X125MM 500/CS, 364.26, , , 
149592A, 5ML TB PS/12X75/STR/SNP 1000CS, 198.01, 185.14656, 190.48, 191.34
1495925B, CULT TUBE SC CAP 16X100MM M/CS, 277.43, 286.33, , 
1495925E, CULT TUBE SC CAP 20X125 500/CS, 234.31, 242.0, 238.41, 
1495935A, TUBE CULT DISP 16X125MM M/CS, 213.22, 220.4, 217.15, 
1495935AA, TUBE CULT DSP 16X100MM 1000/CS, 205.0, 211.66, 208.62, 
1495935C, TUBE CULT DSP 13X100MM 1000/CS, 200.89, 207.29, 204.11, 
1495936A, CAP PHENOLIC 15-415 1000/CS, 138.94, 143.76, 140.77, 
1495948, CAP POLYETHYLENE 12MM 2000/CS, 263.42, 263.42, 271.01, 
1495949A, TUBE CONIC 50ML WRACK 500CS, 278.5, 274.06, 281.95, 270.16
1495949B, TUBE PP CONICAL 15ML 500/CS, 203.69, 174.62951999999999, 179.66, 180.47
1495949D, TUBE CONIC 15ML WRACK 500CS, 208.96, 179.29512, 184.46, 185.29
149595, RIA TUBES 12X75 W/O CAPS M/CS, 60.29, 55.60812, 57.21, 57.47
1495951D, CPT CEL SEP TB SOD HEP 60/CSRX, 902.65, 880.04, 871.61, 
1495953A, TUBE CONICAL CPP 15ML 500/CS, 202.77, 173.8422, 178.85, 179.66
149596, 5ML TBE PS\12X75\STR 1000CS, 122.96, 117.67, 121.06, 
149597, 14MLTBE PS\17X100\ST\SNP1000CS, 248.88, 248.88, 256.05, 
1495970C, CENTRIFUGE TUBE PP 15ML 500/CS, 210.08, 192.29, 197.83, 186.89
1496110, TB PS NS CLR W/OCAP 12X75 M/PK, 90.85, 90.85, 91.1, 
1496126, CULT TUBE DISP 12X75MM 1000/CS, 38.54, 39.71, 39.12, 
1496127, TUBE CULT DSP 13X100MM 1000/CS, 40.91, 42.23, 41.64, 
1496129, TUBE CULT DSP 16X100MM 1000/CS, 55.84, 57.47, 56.58, 
1496130, 1496130LT DSP 16X125MM 1000/CS, 63.93, 66.07, 65.15, 
1496131, TUBE CULT DSP 16X150MM 1000/CS, 66.96, 68.92, 67.83, 
1496132, TUBE CULT DSP 18X150MM 500/CS, 45.51, 44.71, 43.81, 
1496133, TUBE CULT DSP 20X150MM 500/CS, 76.52, 74.88, 73.67, 
1496134, TUBE CULT DSP 25X150MM 500/CS, 137.08, 134.12, 131.94, 
14962A, TUBE CULT DISP 13X100 1000/CS, 497.58, 110.69 (matched with similar item: 1496215C), , 
14962B, TUBE CULT DISP 16X125 1000/CS, 500.66, 500.66, , 
1496226K, CULT TUBE BOR SC 20X125 500/CS, 206.37, 213.12, 210.13, 
150152632, FB 18L LOW TEMP INCUBATOR, 672.56, 623.51, 620.44, 
1503SE010, RHFURIN CF 10 UG, 345.65, 327.19, , 
1507479, CHRTS KT6/-50-+50F 7DAY 60/PK, 127.98, 134.47, , 
15077968, INFRARED THERMOMETER 1EA, 144.3, 148.78, , 
15078200, CONDUCTIVITY PEN, 63.9, 65.7, , 
15100159, PLT384WLLVBLKUBNBS50/CS, 528.73, 528.73, , 
15182706, MACROSETTE CASS TRFLO 250/PK, 110.19, 110.19, , 
1518848, PLUSGOLD FRZN TISS SLDS 144/PK, 75.76, 72.57, 71.5, 70.82
15252400, FISHERBRAND SS PAN CART, 687.18, 648.18, 606.27, 
15252401, FISHERBRAND GLASSWARE CART, 709.14, 668.9, 606.27, 
15336121, DIGITAL HEATED ULTRASONIC BATH, 738.83, 755.18, 749.84, 
15340153, BEAD TUBE 2ML 1.4MM CRMC 50PK, 137.22, 117.83, , 
15340154, BEAD TUBE 2ML 2.8MM CRMC 50PK, 137.22, 117.83, 118.15, 
15340155, BEAD TUBE 7ML 2.4MM METAL 50PK, 148.65, 127.22, 127.22, 
15340160, BULK BEADS 2.8MM CERAMIC325G, 228.85, 196.37, , 
15340162, REINFORCED 2ML TUBES 500PK, 311.12, 289.5, , 
15340167, FISHER 150 HOMOGENIZER, 804.2, 689.75, , 
15350107B, CRYOBOX 9X9 PC 4/PK, 64.14, 64.14, 65.99, 66.29
1535021, CRYOCANE ALUM 6 PLACE 12/PK, 34.93, 33.43, 32.49, 
1535030, TUBE SST BD PLC 3.5PLBL100PKRX, 61.91, 61.91, , 
1535046, CLOSUR VIAL CYRO YEL PS 100/PK, 27.6, 27.03, 26.06, 25.5
1535049, CLOSUR VIAL CRYO RED PS 100/PK, 27.94, 27.35, 26.35, 25.76
1535050, FRZCNTD RT1.0/1.2/1.5/2.0ML1EA, 121.63, 110.51, 107.36, 
1535051, LABTOP COOLER 32 PLACE 1EA, 255.0, 242.6, 235.14, 228.31
1535061, LABTOP COOLR JR 12 PLACE 1EA, 158.63, 151.09, , 
1535095A, PIPE WASHER-RINSER HDPE 16IN, 300.11, 290.06, , 274.5
15398600, LEGIONELLA FIELD TEST KIT, 712.8, , , 
15497018, MOBILE STAND NAPCOWJ 8000 INC, 836.56, , , 
15497022, NAPCO 8000 HEPA FILTER, 103.45, 101.72, 98.1, 
15497023, NAPCO 8000 HEPA FILTER PK, 339.99, 335.08, 325.0, 
15497024, NAPCO 8000 FILTER KIT, 167.14, 164.55, 159.5, 
15610, WRAPPING FILM 18IN X 1000 FT, 36.82, 36.82, , 
15901R, RAINBOW PACK 13MMX13M 24/CS, 60.19, 61.77, 56.28, 
1590110R, RAINBOW PACK 25MMX13M 12/CS, 128.46, 131.33, 119.65, 
15901110, LF ATOCLVTP 0.75IN BLK 4CS, 58.9, 60.06, , 
15901111, LF ATOCLVTP 0.75IN BLK EA, 14.87, 15.07, , 
15901112, LF ATOCLVTP 1IN BLK 3CS, 45.31, 46.41, , 
15901113, LF ATOCLVTP 1IN BLK EA, 15.1, 15.53, , 
1590120A, TAPE WHITE 19MMX55M 4/CS, 80.04, 81.56, 73.88, 
1590125A, TAPE WHITE 25MMX55M 3/CS, 79.71, 81.19, 73.47, 
159015R, RAINBOW PACK 19MMX13M 16/CS, 83.61, 85.48, 77.88, 
15930C, LASERLABEL 1.5 WHT 1700/CS, 87.84, 90.02, 81.86, 
15935, TAPE WHITE 2.54X5486CM/RL, 79.06, 80.53, , 
16000104, ALCONOX CLNR 4LB BOX, 71.55, 68.07, 66.97, 
16000126, LIQUINOX CRITICAL CLNR, 119.75, 109.71, 108.08, 
16000137, CITRANOX CLNR CS 1 GALLON, 108.44, 97.69, , 
1610595, WATERPRO PS PLISHNG KIT GENHPL, 774.61, 713.62, , 
161410, SB 431542 10 MG, 322.44, 305.16, 299.0, 
164946, PMPC18 3UM 75UMX2CM NVTRAP1200, 601.19, 609.82, 513.0, 
16663, MAGNA CHIP PROTEIN A/G MAGNETI, 285.36, 291.53, , 
16800161, 5MM 103.5MM L SMPLEJET 100/PK, 99.77, 99.8, , 
16800495, NMR TBE ECON5MMX7 100MHZ 100PK, 74.04, 73.66, , 
1690HMB050, RHHMGB1 CF 50 UG, 421.06, 397.9, , 
17000719, TR-302N+ PAPR UNIT 1/CS, 467.27, 389.76, , 
17126104630, ACCUCORE C18 100X4.6MM 2.6 UM, 962.5, , , 
17200053, AMMONIA CALIBRATION GAS, 656.37, , , 
172003, MULTI AGENT SPIL CNTRL 6KT/PK, 285.75, 285.75, , 
17463012, DART AIR REMOVAL TEST, 556.95, 549.43, , 
17701, EZ-MAGNA RIP KIT (12 REACTIONS, 687.03, 712.43, , 
178481100MG, TRANSFERRIN APO- LOW ENDOTOX, 140.69, 138.39, , 
17985363A, OV MONITOR BACKUP 5 /CS, 122.82, 108.62, 112.36, 
17986277, EVA PAPR BATTERY 7-8 HR, 372.43, , , 
17986282, EVA PAPR HEPA FILTER 6CS, 212.89, 205.85, , 
17986289, PAPR SYSTEM EVA3PAPR SYSTEM, 797.82, 793.31, , 
17986502, BANDAGE WOVEN 50/PK, 5.73, 5.73, , 
18001017, SPATULA PP  BLUE 210MM 300/PK, 53.68, 49.94, 47.52, 
180310, ITE 10 MG, 247.3, , , 
18333136, HOG HEAVEN 5/8 BLACK 3X12, 327.22, , , 
18608461, ALCOHOL DENATURED 190 PROOF20L, 504.02, , , 
18868, CAN METAL DISPOSAL 2-1/2GAL, 158.67, , , 
18880C, CAN BIOHAZ WASTE PE RED 14GAL, 80.4, 80.4, , 
189992574, FILTER P100 PARTICULATE 12/PK, 49.57, , , 
18999265B, EYESALINE REPLACE CARTRDG 2/CS, 275.43, , , 
18999473, RESP N95 20/PK, 34.38, 14.81, , 
19002713, RESP N95 W/VALV PART 10/PK, 32.45, 17.64, , 
19002720, FIT TEST KIT BITREX, 286.64, 242.92, , 
19005123, WHITE RESPIRATOR WITH POUCH, 378.47, , , 
19021233B, LOOSE FITNG FCEPIECE MD 10/CS, 23.35, 230.61, , 
19033524, RESP DUST MIST SMALL 20/PK, 22.45, 15.94, , 
19037462G, 24INX60IN SASE SHELF CHROME, 154.18, , , 
19039502, LEN ADJST BRTHING TBE 1/CS, 64.92, 57.39, , 
19039565, TR-332 HI CAPCITY BTTRY 1/CS, 301.74, 251.57, , 
19039580, HIGH EFF FILTER 5/CS, 273.69, 165.85, , 
19040898, TOWEL SNGL FLD TRAD WHT 4000CS, 57.29, 55.5012, 54.14, 
19043947, PURELL HC HS ES4 GEL REFILL, 32.05, 28.03, , 
19051510, TFX SANITIZER FOAM REFILL 2/CS, 104.69, 106.35, , 
19065350, PHRMPLY MOPHD 15IN LONG 24/CS, 474.47, 473.26, , 
19072338, 9210PL 37192 PARTRESP N95, 236.54, , , 
19075388E, SPECIMEN BAG 5X9 1000/CS, 202.83, 168.4, , 
19085544, PA700 PAPR KIT DECON PA101M TF, 367.29, 1352.78, , 
19102731, 12 B461 BLK ON WHT1EA, 32.32, 32.32, , 27.74
19109107, SWVLCASTERBRK METROMAXIQ 300LB, 88.33, , , 
19120476, TOWEL SCOTT MULTI-FOLD 4000/CS, 51.25, 49.64976, 48.43, 
19125822, CLNRM TACKYMAT BL 60LAYER 4CS, 317.87, 317.87, , 
19129345, LBLS POLY 1 X1.75  WH 100/RL, 28.28, 28.28, , 
191301675, STKY MAT 30LAY GRY18X45 8/CS, 243.84, 243.84, 232.87, 
191302483, 10P PL NORTH BULK KIT, 36.53, 36.53, , 
19133863, CHROME WIRESHELF 18 X48, 126.07, , , 
19134241, HEADGEAR ASSY LOOSE FCPC MED, 57.25, , , 
19140586, LABELB33B492WHT 0.375 X 1, 131.71, 131.71, , 
19140589, RIBBONR6400 BLK4.33 X200 FT, 125.73, 125.73, , 
19140699, LABELB33 B492 WHT 0.5 X 1, 387.25, , , 
19140838, LABELB33B499WHT1.5 X 0.75, 140.33, , , 
191500430, N95 1517N95 LOWPR  160/CS, 354.94, 354.94, , 
19150084, BLACK R4310 SERIES PTR RIBBON, 50.02, 50.02, 47.46, 44.72
19150620, RIBBONBMP61R4300BLK2 X75FT, 31.06, 31.06, , 
19155119, LBL WHT .50 X25 1 /RLLBL WHT, 59.28, 59.28, , 
19155124, LBL WHT 1 X25 1 /RL LBL WHT, 55.48, 55.48, , 
19155144, LBL WHT .90 X1 180/RLLBL WHT, 79.82, 79.82, 87.5, 
19156103, TRNIQTS NON-LTX TEXTRD100PK, 14.5, 15.26, 12.72, 
19166701, HD 2-SHELF UTILITY CART BLK EA, 382.75, 382.75, 356.86, 
19168175, 3M RESPIRATOR 8200 N95 20/PK, 15.88, 9.26, , 
19168176, RESP N95 W/VALVE 10/PK, 15.19, 10.91, , 
19168430, DSP HAZ WASTE BIN INTERMED CS6, 77.24, 74.46, , 
19175540, FHZ612 LOCKABLE CABLE, 496.6, , , 
19211000, PRINTR RIBN R6000 SERIES 1EA, 75.08, , , 
19211112, B30 RBN R4300 BLK 4.33 X200FT, 143.4, 143.4, , 129.45
19321725, TYCHEM DBL BIB RESPIRATOR HOOD, 43.16, 43.16, , 
1950518, SIDE  RACK FOR 2IN  20 RACK, 271.64, 262.74, 255.66, 
1950520, SIDE RACK 25-2 BX 4 DOOR, 272.5, 264.57, 257.04, 
1950696, C-EXTRA INV RACK 13-2-CW, 316.45, , , 
19546820, 16OZDECNAHOL 70% TRIGSPRY 12CS, 252.99, , , 
19805610, HEADCVR WHITE MED/LRG 5/CS, 154.34, 136.5, , 
19805614, HOOD W/HEAD SUSP MED/LRG 5/CS, 238.87, 199.24, , 
19830352, EASYREACH CLN TOOL 16.5IN SS, 287.47, 287.55, , 
201LB005, RHIL-1B 5 UG, 258.46, 251.748, , 257.58
201LB010, RHIL-1B 10 UG, 448.06, 446.53, , 
2037C5025, RHC5A 25 UG, 309.53, , , 
20400, MAGNA GRIP RACK (8 WELL), 254.96, 271.36, , 249.83
20548137, SAVANT GLASS CONDENSAT FLASK, 568.83, 554.47, , 
20548146, THERMO CRYOCOOL, 184.76, 180.68, 174.37, 168.71
206IL010, RHIL-6 10 UG, 233.8, 222.588, 232.22, 227.74
210TA020, RHTNF-A 20 UG, 213.84, 207.85, 212.82, 
21124376, CARDIOCHEK ANALYZER, 771.54, 771.54, , 
21124385, LIPID PANEL TEST STRIPS 15/PK, 177.79, 177.79, 172.37, 
21124414, A1C NOW PLUS 20 TEST/PK, 181.78, 181.78, 176.66, 
212GD010, RHGDNF 10 UG, 303.66, 297.36, 306.0, 
21200285, RACK FOR 15/50ML TUBES ORANGE, 21.96, 21.19, , 
212361, TIP ART 200UL STL WTRY 960/PK, 151.71, 151.71, 156.08, 
212361A, TIP ART FLT GENOM 200UL 960PK, 108.19, 108.19, , 111.81
2123618C, PIPETTIP W/FILTER 1000UL 400PK, 178.12, 169.5, , 
212362A, TIP FLT 1000UL 800/PK, 102.84, 84.01968, 85.63, 86.02
2123635, TIP ART REACH 10UL 960PK, 103.81, 84.87503999999998, 85.91, 86.29
212364, TIP ART 20UL STL W/TR 960/PK, 102.52, 83.79611999999999, 84.82, 85.2
212365, TIP .5-10UL STR 960/PK, 129.02, 129.02, , 133.34
212367, TIP ART 100 100UL 960/PK, 157.5, 157.5, , 
2123685, TIP ART FLT STR 1000UL 800PK, 101.01, 97.79, 100.61, 101.06
2123690, ART 1200L RACKD ST R-LT 800/PK, 122.74, 112.97, , 
2125500GM, OMNIPUR AGAROSE OMNIPUR 500GM, 680.02, 689.59, 625.79, 
212772A, .1-10UL NAT ULTRA MICRO 1000PK, 17.84, 16.97, 16.97, 
21279214, AIA-PACK TSH 5X20CUP/TRAY100EA, 807.27, , , 
21377170, FINTIP FLT STR 100UL 960CS, 204.95, 195.44, , 
21377203, PLT MICROWEL NON-ST CERT 50/CS, 139.23, 120.01, , 117.92
21377304, FINNTIP 5ML 500/PK, 138.85, 132.56, 123.18, 
21377600, FINNTIP 1000 EXT 480/CS, 157.0, , , 
21377832, UV FLATBTM MICROTITR PLT 40/CS, 707.66, , , 
21377841, FINNTIP 1000 STERL 10UN 960/CS, 137.21, 130.73, , 
213802M, PIPET GELOADER TIP EPP 192/CS, 171.27, 169.97, , 
21381093, REAGENT RESERVOIR10ML 100/CS, 137.98, 132.14, 122.59, 116.52
2138127E, RESERVOR RGT 25ML DVD BLK100CS, 85.51, 85.51, 79.3, 
21385102, REAGENT RES BULK 25ML 200/CS, 138.74, 138.74, 128.87, 126.11
214CS025, RHG-CSF 25 UG, 713.5, 694.98, , 
2140110, MICRO SPATULA TAPERD 12/PK, 59.71, 59.71, 59.87, 
21402161, ART 0.5-20UL TIPS 960/PK, 160.53, 160.53, , 
2140218, RACK FLIPR LID FL PNK .6/1.5ML, 36.91, 35.23, , 
21402185, UNIV ART MULTICHNL 200UL 960PK, 98.12, 84.67092, 87.11, 85.12
21402190, BIOMEK FX 20UL ST CLRFLT 960PK, 182.33, 182.33, 187.58, 
21402193, BIOMEK FX130UL ST CLRFLT 960PK, 189.64, 189.64, 195.1, 
21402321, TIP ART/TECAN 1000UL 960/PK, 141.2, 220.17, , 
21402482, ART 10RE LR ADV ST CLR 960/PK, 113.18, 97.41384, 100.22, 100.67
21402484, ART 20 LR ADV STR CLR 960/PK, 113.06, 100.32, 103.21, 
21402485, ART 100E LR ADVTG ST CL 960/PK, 116.33, 96.57791999999999, , 99.27
21402486, ART 200 LR ADVTG ST CLR 960/PK, 113.06, 96.15024, 98.92, 99.37
21402487, ART 1000 LR ADVTG ST CL 800/PK, 119.43, 119.43, 122.87, 
214025E007, ART 10 LR ADV ST CLR FT 960/PK, 113.12, 97.929, , 
21402550, ART SOFTFITL 20 CLR ST 960/PK, 125.77, 125.77, , 129.97
21402551, ART SFTFITL 20 CL ST LR 960/PK, 132.97, 110.42891999999999, , 
21402557, PURE SFTFITL 20ST LRRLD 960/PK, 154.87, 154.87, , 
21402558, HLT SOFTFITL 20 CL RLD 960/PK, 117.6, 117.6, 120.99, 
21402559, HLT SFTFITL 20 CL LRRLD 960/PK, 135.13, 135.13, , 
21402561, ART SOFTFITL 200 CLR ST 960/PK, 138.68, 138.68, , 
21402562, ART SFTFITL 200ST CL LR 960/PK, 134.78, 110.13732, , 
21402568, PURE SFTFTL 200ST LRRLD 960/PK, 154.87, 154.87, , 
21402569, HLT SOFTFITL 200 CL RLD 960/PK, 117.51, 117.51, 120.9, 
21402572, ART SOFTFITL 300 STR LR 960/PK, 240.21, , , 
21402580, HLT SOFTFITL 300 LR RLD 960/PK, 145.13, , , 
21402581, ART SOFTFIT-L 1000 STER 768/PK, 134.67, 134.67, 138.55, 
21402589, HLT SFTFITL 1000 CL RLD 768/PK, 116.02, 116.02, 119.36, 
21402902, HLT 1.5ML TB GRD NSTR CL 500PK, 20.13, 19.23, 17.92, 17.67
21402903, HLT 1.5ML TUB GRD STCLR 500/PK, 22.19, 21.13, 19.7, 19.42
2140302, ART 1000UL FLTR PIPT TP 768/PK, 228.07, 228.07, , 
22000112, TNDRFT INCISN DEV TODLR 50/PK, 472.22, 496.49, , 
22010076, TB CNT 15 SC BL PP ST RK 5C/CS, 107.36, 103.78, , 
22024802, DRY ICE CHEST W/O DOLLY 2.5CU, 731.36, 712.84, , 
22025591, CABINET FILING 6DWR CASSTT MTL, 239.81, 239.81, 223.46, 
22026700, FF MARKER BLK CHM RESIST 12/PK, 89.94, 87.0, 77.89, 
22026735, INFANT HEEL WARMER LIQ 25/PKRX, 91.19, 85.86, , 
22026754, SPECI BAG 13INX18IN 500CS, 203.91, , , 
22028561, FB NONWOVEN GAUZE NS 4X4 200PK, 13.36, 13.36, , 
22030204, 18MM MAG SCREW CAP T/S 100/PK, 86.65, 74.39, 65.62, 57.98
22030401, 0.08ML SERUM W/GEL 100/PK RX, 49.36, 45.51876, , 
22030403, 0.5ML K3 EDTA 100/PK, 50.6, 46.656, , 
22030404, 0.25ML K3 EDTA 100/PK RX, 48.44, 45.54792, , 
2203121, INOC LOOP 1UL 50TUBE 1000PK, 152.66, 134.86, , 
2203123, INOC LOOP 10UL 50/TB 1000PK, 132.22, 116.81, 116.5, 
22032103, ETH ALC USP 200PRF 5 GAL SPGT, 166.06, 166.06, , 
22032105, ETH ALC 190PRF 5 GAL SPGT, 162.77, 162.77, , 
22034510, SYRINGE 10ML LUER-LOK 1000/PK, 770.16, , , 
22034985, EXCELL SUPERFROST SLIDE 144/PK, 47.02, 48.89, , 45.51
22037246, CLIP CRNR ADHESION SLD 144/PK, 45.02, 44.42, 43.76, 43.4
22037247, CLIP CRNR EXCELL SLD 144/PK, 52.43, 51.81, 50.97, 
22037901, SPONGE GAUZE 2X2 8 PLY 200/PK, 5.48, 5.48, , 
22040037, VACU 9ML K3EDTA LAV 50/PK RX, 7.36, 6.78456, , 
22040284, VAC TB NO ADD 9MLZWHT 50/PK RX, 5.85, 5.3946, , 
22040544, VACU 9ML Z SER SEP RED 50/PKRX, 13.88, 12.80124, , 
22040546, VACU 3.5ML Z SER SEP GOLD 50PK, 12.45, 11.47932, , 
22044564, BG BHZD PE RED 25X35 200/CS, 168.88, 168.88, , 
22046340, PEN-FIX 4 X 1 GAL/CS, 150.85, 150.85, 149.1, 
22047027, PLTE C8LOCKWELMOD PLYSRP 60/CS, 570.59, 551.06, 538.29, 
22047508, TUBE PS ST CAP 17X100MM 500/CS, 222.26, 222.26, , 
22047600, CENTRIFUGE TUBE W/CAP 1000/CS, 258.57, 259.16, 247.5, 236.16
22048106, FB CASSTTE P E TAPED PCH M/CS, 134.8, 141.38, , 
22048107, FB CASSTTE P E TAPED YLW M/CS, 130.32, 136.68, 133.27, 
22050104, FIXATIVE 10% NBF 4/CSFIXATIVE, 93.57, 93.57, , 
22050138, PRFLLD 10% NBF CONT 60ML 144CS, 201.0, 201.0, , 
22050229, COVER GLASS NO1 24X55 10 OZ/CS, 192.05, 198.2, 193.12, 
22063156, FSH PTR PT 5-3/4IN 200PK, 5.82, 6.01, , 5.91
22063172, PIPET FSH 9  SODALIM GLS 200PK, 6.61, 6.5, 6.36, 6.3
22110758, PREFILL10%NBF 40ML 96/CS, 59.98, , , 
22110761, PREFILL10%NBF 120ML 96/CS, 112.98, , , 
22122911, HEMA 3 STAIN FIXATV 500ML 3/PK, 346.81, 346.81, 343.66, 
22124967, SYR ONLY 20ML LUERLOK 48PK  RX, 28.17, 28.17, 28.98, 
22124969, SYR ONLY 30ML LUERLOK 56/PK RX, 34.45, 34.45, 35.44, 
22126345, FB CASSETTE STORAGE CABINET, 159.84, 115.24, , 
22130018, ABSORB AQUI-PAK 4POUCH 300/PK, 193.51, 193.51, , 
22130020, SPECIMN BG 95KPA COMPLNT 100CS, 132.82, 132.73, 110.91, 
22130021, SPC BG 95KPA W/ ZORB PD 100 CS, 249.27, 249.27, , 
22130415, SHIPPER EX SM COOLER 12CS, 133.56, 133.56, , 
22143974, CLEANR LENS FSH OPTCL 2OZ 6/PK, 47.2, 48.65, , 
22143975, CITRISOLV CLEARING AGENT 1GAL, 335.93, 345.94, 339.95, 
22156700, HIV1 P24 ANTGN ELISA 1X96WL/EA, 592.75, 605.33, , 
22156775, SIV P27 ANT ELISA 1X96WELL, 729.69, 745.95, 744.5, 
22158020, NATROL NOROVR GI POS CT 6VL/EA, 170.23, , , 
22158050, NATTROL RESP PATHOGEN PANEL, 425.8, 434.8, 422.5, 
22158381, NAT FLU/RSV/COV NEG 6X.5ML RUO, 175.87, , , 
22158382, NAT FLU/RSV/COV POS 6X.5ML RUO, 207.21, , , 
22170258, TBE MCRCNT 1.5ML W/CAP 1M/PK, 25.0, 23.99, , 
22170404, 7ML TRANSFER PIPET 500/PK, 18.7, 17.94, , 
22171633, SNAP CAP RED PE 12/13MM M/PK, 27.33, , , 
22171710, TT 12X75 5ML PP RED SC NS M/CS, 94.35, 90.81, , 
22171715, CNT TB 50ML ATT CP PS ST 5C/CS, 238.97, , , 
2219, EMBEDDING MOLD 22X22MM 288/CS, 212.46, 212.46, 206.38, 191.93
22204418, AC PPT HEMO16X100PRLWH C/PKRX, 490.52, 488.65, , 
22225281, ANGL WNG BC SET LUER19G 50CSRX, 119.27, 119.27, , 
22230482, FSH PSTR PPTS 5-3/4IN FLT MCS, 37.38, 38.59, 37.91, 
22230892, FB SLD CLRFR+ BO 25X75MM 144PK, 45.56, , , 
22246073, ALCOHOL PREP STER 2PLY 200/PK, 3.66, 3.66, 3.49, 
22251491, SURFLO IV CATH 24G 50/PK    RX, 210.98, 210.98, 198.98, 
22253260, SYR SLIPTIP U-100 1ML 200/PKRX, 51.63, 51.63, 53.12, 
22260622, RACK SUBMERSIBLE PP 50-PL, 85.64, , , 
22262374, NEISSERIA ENZYME TEST 25/PK, 299.68, 299.68, 308.31, 
22269947, RACK TTUBE PLSTC 13MM WH, 14.44, 14.44, , 
22272335, SFTY INFSN 21G 12 TBG 50PK  RX, 106.71, 106.71, 103.1, 
22279530, ST AIA C-PEP II TST CP 100EARX, 898.06, , , 
22286555, CLRSLD2 MNTST N/HZ 50TS/PK  RX, 215.72, 215.72, 221.93, 
22289912, WINGED INFUSN KT 27GX.5 100/PK, 232.36, 232.36, , 
22289953, HLDR 1-USE NOSTCKBL 250/PK  RX, 20.93, 20.38, 20.17, 
22311743, MNJCT LAV EDTA 10ML100/PK   RX, 109.13, 109.13, , 
22313630, MICROTBE RACK 80 PLC PP 5/PK, 44.88, 44.88, 40.91, 
22349700, KIT COLLECT E SWAB REG 50PK, 104.09, 77.39, 76.83, 
